Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Bahamas, The",BHS,65.267,47.804,33.017,30.622,28.642,26.67,26.371,26.022,25.84,25.686,25.079,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bahrain,BHR,23.845,13.276,15.061,14.492,14.009,13.239,11.627,9.676,9.185,8.676,8.714,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bangladesh,BGD,175.741,147.994,88.557,83.664,83.359,78.29,78.359,77.678,76.411,75.496,73.345,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Barbados,BRB,54.331,53.139,41.888,41.555,41.218,41.438,42.154,42.163,42.421,42.297,41.864,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belarus,BLR,42.06,26.695,20.613,17.837,15.529,12.936,11.596,11.83,11.904,11.85,11.191,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belgium,BEL,11.956,11.915,7.448,6.862,6.489,6.075,5.717,5.304,5.239,5.33,5.105,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belize,BLZ,128.786,99.894,70.722,69.786,70.523,69.627,72.062,64.404,56.671,57.127,56.569,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Benin,BEN,125.025,117.261,95.483,95.516,96.016,95.546,95.481,93.897,92.935,92.259,90.835,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bermuda,BMU,42.414,33.19,9.329,8.902,8.486,7.99,7.279,7.417,7.641,7.542,7.429,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bhutan,BTN,106.404,69.775,31.189,29.516,27.035,24.207,21.632,19.659,19.242,18.977,18.481,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bolivia,BOL,96.346,90.335,71.441,70.233,68.823,68.203,66.461,65.629,64.383,63.792,63.073,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bosnia and Herzegovina,BIH,38.315,17.848,10.655,10.862,10.966,10.836,10.493,10.223,10.049,9.86,9.384,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Botswana,BWA,101.544,67.562,49.512,54.22,49.893,44.219,48.812,51.149,50.083,49.324,48.343,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,87.528,86.362,63.12,62.434,57.88,55.566,53.436,50.015,46.296,45.2,43.582,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,British Virgin Islands,VGB,45.376,45.401,18.942,17.99,14.015,11.682,12.915,13.661,14.116,14.482,14.098,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brunei Darussalam,BRN,37.813,29.152,12.266,11.525,10.617,10.027,10.025,9.955,10.026,9.978,9.524,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bulgaria,BGR,69.923,45.249,41.998,39.2,37.916,38.398,39.209,39.245,39.218,38.605,38.215,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burkina Faso,BFA,144.36,135.684,127.006,122.57,118.473,116.273,115.166,113.416,112.228,110.509,108.692,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burundi,BDI,74.13,81.409,62.042,60.503,58.393,56.593,56.272,54.856,54.36,53.621,52.595,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cabo Verde,CPV,123.42,100.424,66.636,64.655,65.121,62.571,57.389,56.453,55.952,55.228,53.987,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cambodia,KHM,82.908,54.402,52.125,49.999,48.646,48.05,47.823,46.894,46.341,45.453,45.657,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cameroon,CMR,168.519,142.596,119.042,118.841,118.649,118.239,116.168,114.532,111.522,110.378,108.618,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Canada,CAN,27.61,17.452,10.859,9.685,8.607,8.054,7.094,6.888,6.985,6.978,6.618,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cayman Islands,CYM,72.968,53.707,17.117,13.044,12.632,10.876,11.153,11.666,15.831,11.74,10.893,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Central African Republic,CAF,165.343,148.779,161.483,160.531,160.608,161.927,162.886,162.614,160.744,160.507,158.998,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chad,TCD,210.377,201.92,166.993,161.833,154.982,148.497,144.658,143.448,141.338,138.306,135.678,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Channel Islands,CHI,28.2837425048082,25.3976081864135,13.7946630483944,12.9163834126445,12.5699920009142,11.0497237569061,10.7671601615074,10.5877268798617,10.7606287583078,11.0301769,10.737,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chile,CHL,68.178,61.305,44.832,40.067,34.096,27.979,24.292,24.127,24.08,24.082,22.793,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,30.986,12.579,16.39,15.327,15.282,14.901,13.325,12.939,11.73,11.048,11.146,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Colombia,COL,94.916,94.675,72.843,69.796,68.128,66.226,63.885,61.82,59.708,59.034,57.612,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Comoros,COM,99.741,92.025,69.532,66.546,64.26,61.519,61.58,60.615,59.166,58.173,56.081,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Dem. Rep.",COD,121.212,123.988,120.208,116.739,114.663,112.84,111.573,110.747,109.898,108.962,107.481,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Rep.",COG,123.676,120.388,116.347,115.052,111.685,109.817,108.379,106.697,104.81,103.633,101.197,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Costa Rica,CRI,93.687,82.104,58.971,55.253,53.031,53.783,51.147,44.882,38.024,37.148,35.749,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cote d'Ivoire,CIV,164.676,140.972,112.712,112.919,112.076,111.545,109.253,107.17,105.891,104.968,103.293,..
